upazila,Predominant_Soil_Region,General_Bearing_Capacity_kN_m2,Building_Suitability,Key_Considerations,Latitude,Longitude
Gopalganj Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.0603784671359,89.8487878410314
Gopalpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.5720161608198,89.9035319869475
Gosairhat,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.0790613008852,90.448720439518
Gowainghat,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",25.0831404758732,91.9583315525058
Gulshan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7896520826208,90.4120384894969
Gurudaspur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.3727994375151,89.2028513049925
Habiganj Sadar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.335911836167,91.4142679311131
Haim Char,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.0694660906907,90.6265005159585
Hajiganj,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.2628562468948,90.8373415470468
Hakimpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.2920481084722,89.0620893221186
Halishahar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3376761725522,91.7757882174688
Haluaghat,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,25.084636704572,90.3513385847205
Harinakunda,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.6427091435325,89.0766159041267
Haripur,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.8784522583106,88.1548426361966
Harirampur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.7241748129288,89.9478596736847
Hathazari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.5278397689218,91.7978994773761
Hatibandha,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.121451631428,89.1409637746643
Hatiya,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.3093818108338,91.0909564942232
Hazaribagh,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7389934844547,90.359127470886
Hizla,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.9562038360971,90.5219551480803
Homna,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.6792343017184,90.812736509683
Hossainpur,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.4488104429733,90.6628468610614
Ishwardi,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.0777914892048,89.097262723259
Ishwarganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.6450318611878,90.5994752632932
Islampur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.0752016718771,89.7612707008856
Itna,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.5492612044658,91.0824840541839
Jagannathpur,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.7469333859946,91.5558541173305
Jaintiapur,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",25.056400671971,92.1013747864619
Jaldhaka,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.0295034938259,88.99345218911
Jamalganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.9541066505704,91.2030629712642
Jamalpur Sadar,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,24.8441600851798,90.0124868587541
Jatrabari,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7134092802406,90.4514344264651
Jhalokati Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.6796744009814,90.1922628479929
Jhenaidah Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.5164579578257,89.1578108041393
Jhenaigati,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,25.1818268663247,90.0529798368505
Jhikargachha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.0689195685896,89.054232327974
Jiban Nagar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.4410786313128,88.8491864048544
Joypurhat Sadar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.1056110586962,89.0199712959071
Jurai Chhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.6308666873201,92.4225156126984
Juri,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.5531065515904,92.1432301696334
Kabirhat,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.8133927916221,91.1999016599329
Kachua,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.3626008250131,90.8817274316597
Kachua,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,22.6522549748517,89.8747652129253
Kachua,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",23.3626008250131,90.8817274316597
Kachua,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.6522549748517,89.8747652129253
Kadamtali,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.68726664251,90.4487607707715
Kafrul,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7956317358214,90.3848207616858
Kahaloo,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.8322490095691,89.25048831008
Kaharole,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.8008958070513,88.5988651491135
Kala Para,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",21.9356208742756,90.2183716332098
Kalabagan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7470645927963,90.3861495134452
Kalai,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.0778009285671,89.1977979675617
Kalaroa,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8807247974369,89.0302375678457
Kalia,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.0279722516664,89.6440931604819
Kaliakair,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.1031894183956,90.2645780712197
Kaliganj,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.9642554144844,90.5549093480521
Kaliganj,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.3696878922931,89.1518379727938
Kaliganj,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,22.4472408029612,89.0623301306736
Kaliganj,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,25.9856171904238,89.240208108678
Kaliganj,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.9642554144844,90.5549093480521
Kaliganj,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.3696878922931,89.1518379727938
Kaliganj,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,22.4472408029612,89.0623301306736
Kaliganj,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,25.9856171904238,89.240208108678
Kaliganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",23.9642554144844,90.5549093480521
Kaliganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",23.3696878922931,89.1518379727938
Kaliganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.4472408029612,89.0623301306736
Kaliganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",25.9856171904238,89.240208108678
Kaliganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",23.9642554144844,90.5549093480521
Kaliganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",23.3696878922931,89.1518379727938
Kaliganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",22.4472408029612,89.0623301306736
Kaliganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.9856171904238,89.240208108678
Kalihati,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.3600137104592,89.9449039209584
Kalkini,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.0709038057784,90.2483369128228
Kalmakanda,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,25.0768711852666,90.8572773277566
Kalukhali,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.740981891361,89.4741679962255
Kamalganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.3156354847029,91.8592324793093
Kamalnagar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.7675345284336,90.8653290098823
Kamarkhanda,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.3749967797666,89.6435519096394
Kamrangir Char,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7115450724203,90.3717676876237
Kanaighat,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.9935497387376,92.2180212479011
Kanthalia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.4202694698141,90.1023044427464
Kapasia,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.1471760118935,90.5998449021148
Kaptai,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.4597954123613,92.1935083001522
Karimganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.4512786500425,90.8959951740656
Kasba,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.7630445288781,91.1303029673935
Kashiani,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.190713830685,89.7962845891537
Katiadi,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.2910264167217,90.8240207207718
Kaunia,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.7637731100451,89.3949597023979
Kawkhali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.6064484166021,90.0584898433442
Kawkhali (Betbunia),Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.6207680503762,92.0095810924567
Kazipur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.6702136588854,89.6872921430452
Kendua,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.6773125835121,90.8029079724499
Keraniganj,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.6934753150863,90.3442825309257
Keshabpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8801217451941,89.2316283126821
Khagrachhari Sadar,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,23.1283115170969,91.9860265425963
Khaliajuri,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.7023470588298,91.1213111900201
Khalishpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8497548521659,89.536341012211
Khan Jahan Ali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.916760261781,89.4904307346881
Khansama,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.8697074128519,88.7652430002732
Khetlal,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.0223842739956,89.1180518210439
Khilgaon,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7598997368661,90.45477246457
Khilkhet,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8344519158941,90.4475561627724
Khoksa,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.8087193826845,89.2997197509989
Khulna Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8006062352446,89.5686402349795
Khulshi,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.366071651785,91.8001389712383
Kishoreganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.8960209066544,89.0328656991315
Kishoreganj Sadar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.4237683495456,90.7833519994917
Kotali Para,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.0110044671031,90.0206973768875
Kotchandpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.4479016932459,88.9986852801959
Kotwali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3430180565296,91.8323335667942
Kotwali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",23.7096971237861,90.4080985854337
Kotwali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",23.1819446664638,89.2193250053316
Kotwali,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,22.3430180565296,91.8323335667942
Kotwali,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7096971237861,90.4080985854337
Kotwali,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.1819446664638,89.2193250053316
Kotwali,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,22.3430180565296,91.8323335667942
Kotwali,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.7096971237861,90.4080985854337
Kotwali,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.1819446664638,89.2193250053316
Koyra,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.1452397046567,89.3822575860887
Kulaura,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.4902560675258,92.0123399000601
Kuliar Char,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.1518888442807,90.8881222503873
Kumarkhali,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.8566543458526,89.2095302207059
Kurigram Sadar,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.8260296878057,89.6907084501962
Kushtia Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.8222300226976,89.0896082221839
Kutubdia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",21.8379657573298,91.8625529380986
Lakhai,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.2980962608565,91.2603795431891
Laksam,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.2386957502018,91.1052420349165
Lakshmichhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.7849417763322,91.9290596045107
Lakshmipur Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.9210586323388,90.8631012614777
Lalbagh,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7211525591517,90.3778401784838
Lalmohan,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.316125984242,90.7516217224087
Lalmonirhat Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.8746887521909,89.4526098583857
Lalpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.1983973196252,88.98494258373
Lama,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,21.8179331485289,92.2075917329309
Langadu,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.9505531903783,92.2088529691019
Lohagara,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",21.9862127448806,92.1111202528144
Lohagara,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",23.2048452382987,89.6236159518687
Lohagara,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,21.9862127448806,92.1111202528144
Lohagara,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.2048452382987,89.6236159518687
Lohajang,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.4705854168072,90.3413536440715
Madan,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.677526179465,90.9670806730764
Madarganj,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,24.8818779620574,89.7408344035083
Madaripur Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.193766589858,90.174850604394
Madhabpur,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.120439194869,91.3414673911414
Madhukhali,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.5409299663178,89.612044238631
Madhupur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.6501677053392,90.0602298380974
Magura Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.4518428937707,89.413032413817
Mahadebpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.9199162426556,88.7647563667786
Mahalchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.9514657174757,92.0233757742865
Maheshkhali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",21.6089827696344,91.9210096599328
Maheshpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.3196818244851,88.8578223702252
Manda,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.7443288174297,88.7129865278351
Manikchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.8412063999694,91.8191110812173
Manikganj Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8358323084795,90.0305267959282
Manirampur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.0062234926788,89.2201175764458
Manohardi,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.160763870522,90.7304769123302
Manoharganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.140113935916,91.0669622010145
Manpura,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",22.2237487588854,90.9485571730873
Mathbaria,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.285168021017,89.9505717609713
Matihar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.3676738063495,88.6469748618254
Matiranga,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,23.1045081271562,91.8547761528886
Matlab Dakshin,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.3497649221953,90.7469100381698
Matlab Uttar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.4136033413862,90.6419804080616
Maulvi Bazar Sadar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.4995097860705,91.7123251530029
Meghna,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk.",23.6247477381417,90.6908590563875
Mehendiganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8192132553846,90.5076155927376
Meherpur Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.7662881435657,88.661122553811
Melandaha,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,24.9573480690859,89.8246833688764
Mirpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.794159805622,90.3617561658255
Mirpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.8959818925093,88.989637897712
Mirpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.794159805622,90.3617561658255
Mirpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.8959818925093,88.989637897712
Mirsharai,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8099215370487,91.5501431103361
Mirzaganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3567659814246,90.2166025048199
Mirzapur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.1159283820009,90.1071631468087
Mitha Pukur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,25.5714318481162,89.2611559128997
Mithamain,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.4331087134068,91.1105284609956
Mohammadpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7586310820488,90.3566926627137
Mohammadpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.4009652333568,89.552305097073
Mohammadpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.7586310820488,90.3566926627137
Mohammadpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.4009652333568,89.552305097073
Mohanganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.8267651454468,91.023660603306
Mohanpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.5536041924072,88.6403314172611
Mollahat,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8826757834641,89.7733001426729
Mongla,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.1267148873778,89.6543982509384
Morrelganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.483803278546,89.8336279085756
Motijheel,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.734762557346,90.4214620408246
Mujib Nagar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.6683743245625,88.6213868192148
Muksudpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.2667255778738,89.9143477510404
Muktagachha,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.7429599651899,90.2037895428764
Muladi,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.9527066743365,90.3762315947841
Munshiganj Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.486576181208,90.5275635307488
Muradnagar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.6775337950471,90.9435907791426
Mymensingh Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.7745746694908,90.3615884257432
Nabiganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.5695941906341,91.5445087261547
Nabinagar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.8635638312553,90.9805100541725
Nachole,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.7267770123587,88.3964488314844
Nagarkanda,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.4372177785917,89.8942864023029
Nagarpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.0476991918385,89.874117340234
Nageshwari,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.9584783561227,89.7400906663797
Naikhongchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,21.4689129851651,92.2287388315772
Nakla,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,24.9567632129652,90.1837046230741
Nalchity,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.6007016066155,90.273558572681
Nalitabari,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,25.1175788412827,90.1835061770894
