upazila,Predominant_Soil_Region,General_Bearing_Capacity_kN_m2,Building_Suitability,Key_Considerations
Kashiani,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Katiadi,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Kaunia,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Kawkhali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Kawkhali (Betbunia),Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Kazipur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Kendua,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Keraniganj,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Keshabpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Khagrachhari Sadar,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Khaliajuri,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Khalishpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Khan Jahan Ali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Khansama,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Khetlal,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Khilgaon,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Khilkhet,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Khoksa,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Khulna Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Khulshi,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Kishoreganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Kishoreganj Sadar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Kotali Para,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Kotchandpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Kotwali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Kotwali,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Kotwali,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Koyra,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Kulaura,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Kuliar Char,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Kumarkhali,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Kurigram Sadar,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Kushtia Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Kutubdia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Lakhai,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Laksam,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Lakshmichhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Lakshmipur Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Lalbagh,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Lalmohan,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Lalmonirhat Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Lalpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Lama,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Langadu,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Lohagara,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Lohagara,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Lohajang,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Madan,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Madarganj,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Madaripur Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Madhabpur,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Madhukhali,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Madhupur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Magura Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Mahadebpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Mahalchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Maheshkhali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Maheshpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Manda,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Manikchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Manikganj Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Manirampur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Manohardi,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Manoharganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Manpura,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Mathbaria,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Matihar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Matiranga,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Matlab Dakshin,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Matlab Uttar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Maulvi Bazar Sadar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Meghna,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Mehendiganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Meherpur Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Melandaha,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Mirpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Mirpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Mirsharai,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Mirzaganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Mirzapur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Mitha Pukur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Mithamain,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Mohammadpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Mohammadpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Mohanganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Mohanpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Mollahat,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Mongla,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Morrelganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Motijheel,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Mujib Nagar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Muksudpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Muktagachha,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Muladi,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Munshiganj Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Muradnagar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Mymensingh Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Nabiganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Nabinagar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Nachole,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Nagarkanda,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Nagarpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Nageshwari,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Naikhongchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Nakla,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Nalchity,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Nalitabari,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Nandail,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Nandigram,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Nangalkot,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Naniarchar,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Naogaon Sadar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Narail Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Narayanganj Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Naria,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Narsingdi Sadar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Nasirnagar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Natore Sadar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Nawabganj,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Nawabganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Nawabganj Sadar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Nazirpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Nesarabad (Swarupkati),Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Netrokona Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
New Market,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Niamatpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Nikli,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Nilphamari Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Noakhali Sadar (Sudharam),Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Paba,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Pabna Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Pahartali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Paikgachha,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Pakundia,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Palash,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Palashbari,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Pallabi,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Paltan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Panchagarh Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Panchbibi,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Panchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Panchlaish,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Pangsha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Parbatipur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Parshuram,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Patenga,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Patgram,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Patharghata,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Patiya,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Patnitala,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Patuakhali Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Pekua,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Phulbari,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Phulpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Phultala,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Pirgachha,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Pirganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Pirganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Pirojpur Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Porsha,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Purbadhala,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Puthia,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Rajapur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Rajarhat,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Rajasthali,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Rajbari Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Rajnagar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Rajoir,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Rajpara,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Ramganj,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Ramgarh,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Ramgati,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Ramna,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Rampal,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Rampura,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Ramu,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Rangamati Sadar,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Rangpur Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Rangunia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Raninagar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Ranisankail,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Raozan,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Raumari,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Rowangchhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Royganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Roypur,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Roypura,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Ruma,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Rupganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Rupsa,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Sabujbagh,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Sadarpur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Sadullapur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Saghatta,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Saidpur,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Sakhipur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Saltha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Sandwip,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Santhia,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Sapahar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Sarail,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Sarankhola,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Sariakandi,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Sarishabari,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Satkania,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Satkhira Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Saturia,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Savar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Senbagh,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Serajdikhan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Shah Ali,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Shah Makhdum,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Shahbagh,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Shahjadpur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Shahrasti,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Shailkupa,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Shajahanpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Shalikha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Shariatpur Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Sharsha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Sher-e-bangla Nagar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Sherpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Sherpur Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Shib Char,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Shibalaya,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Shibganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Shibganj,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Shibpur,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Shyamnagar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Shyampur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Singair,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Singra,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Sirajganj Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Sitakunda,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Sonadanga,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Sonagazi,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Sonaimuri,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Sonargaon,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Sonatola,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Sreebardi,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Sreemangal,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Sreenagar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Sreepur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Sreepur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Subarnachar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Sujanagar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Sulla,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Sunamganj Sadar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Sundarganj,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Sutrapur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Sylhet Sadar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Tahirpur,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Tala,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Tangail Sadar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Tanore,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Taraganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Tarail,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Tarash,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Tazumuddin,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Tejgaon,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Tejgaon Ind. Area,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Teknaf,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Tentulia,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Terokhada,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Thakurgaon Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Thanchi,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Titas,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
